Tanggapan,SI,S_SI,I,S_I
lebih ditingkatkan kembali,0,0,0,0
"Cukup baik,terus tingkatkan",0,1,0,1
sangat baik,0,1,0,1
Saran saya Sistem informasi sebaiknya lebih baik dari sebelumnya agar mahasiswa lebih memahami,1,0,0,1
Baik,0,1,0,1
Sudah baik harus lebih ditingkatkan,0,1,0,1
silahkan belajar dari kesalahan dan memperbikinya,0,0,0,0
Tune nya masih suka error kadang-kadang.,1,0,0,1
TIdak ada.,0,1,0,1
sudah cukup,0,1,0,1
sudah bagus,0,1,0,1
ya tingkatkan,0,0,0,0
Banyak layanan yg udah rusak,0,0,0,0
Pelayanan lebih ditingkatkan lagi,0,0,0,0
good,0,1,0,1
"bagus, tingkatkan",0,1,0,1
sudah bagus,0,1,0,1
respon dipercepat,1,0,0,1
Lebih diperbaiki lagi,0,0,0,0
-,0,0,0,0
perbaiki layanan,0,0,0,0
Tingkatkan,0,0,0,0
dipermudah until mengakeses wifi dan diperbanyak computer campus,0,1,1,0
ditingkatkan,0,0,0,0
semoga internet di percepat,0,1,1,0
semoga lebih baik,0,0,0,0
sepertinya belum ada perbaikan yang signifikan dari tahun ke tahun,0,0,0,0
lebih banyak menggunakanmedia sosial dalam penyampaian agar lebih mudah lagi untuk dicari,1,0,0,1
Menjadi lebih baik lagi,0,0,0,0
Bisa lebih cepat dan lebih mudah dimengerti lagi,0,0,0,0
upgrade the service,1,0,0,1
sangat bagus,0,1,0,1
-,0,0,0,0
tidak ada saran,0,1,0,1
"layanan sistem informasi sudah baik, mohon ditingkatkan kembali menjadi yang lebih baik.",1,1,0,1
kalau bisa lebih cepat lagi dalam pemberitahuan informasi dan bisa benar benar sampai ke telinga semua mahasiswa,1,0,0,1
Nope,0,1,0,1
baik,0,1,0,1
kadang kurang update,1,0,0,1
terkadang server i gracias sering penuh,1,0,0,1
.,0,0,0,0
Masih underquality,0,0,0,0
bagus,0,1,0,1
leboh responsif,1,0,0,1
lebih baik kalau ada aplikasi di app store (apple) dan di google play (android) untuk lebih memudahkan mahasiswa dan dosen untuk mengakses igracias,1,0,0,1
"igracias reputasinya tolong diperbaiki, jangan jadi bahan lelucon kaya di youtube",1,0,0,1
menyediakan informasi yg mudah di fahami,1,0,0,1
sangat membantu dan sudah lumayan terperinci,0,1,0,1
kestabilan sistem agar lebih ditingkatkan lagi,1,1,0,1
-,0,0,0,0
bagus lebih ditingkatkan,0,1,0,1
Hibuh,0,0,0,0
"Waktu Maintenance  Sistem Informasi yang kurang tepat, dan terkadang kurang responsif",1,0,0,1
Igracias lebih friendly,1,0,0,1
Fasilitas kurang mendukung visi,0,0,0,0
"dalam sarana informasi sudah bagus dan memadai,baik melalui igracias,line",1,1,0,1
,0,0,0,0
Lebih baik,0,0,0,0
Kedepannya lebih baik lagi,0,0,0,0
lebih ramah lagi ya dan mempermudah TUNE.,1,0,0,1
Kedepannnya di harapkan layanannya lebih ramah lagi,1,0,0,1
sudah cukup baik,0,1,0,1
Stabilkan,0,0,0,0
Ketepatan dan kerja sama harap ditingkatkan. Ada kasus antae admin beda informasi,1,0,0,1
"sistem informasi masih kurang, internet lambat, penataan buku di perpustakaan kurang rapi.",1,0,1,0
lebih di tingkatkan,0,0,0,0
Baik,0,1,0,1
layanan sistem informasi sudah baik,1,1,0,1
Sistem informasi berjalan baik hanya layanan internet yang tidak baik,1,1,1,0
Baik,0,1,0,1
Tingkatkan saja yang ada,0,0,0,0
informasi perkuliahan lebih diperluas dan dipercepat,1,0,0,1
sudah baik dan semakin ditingkatkan,0,1,0,1
harus stabilkan internet,0,1,1,0
-,0,0,0,0
dalam sistem informasi sudah memuaskan,1,1,0,1
tolong di perbaiki sistem yang sering crash atau bug,1,0,0,1
jangan pake regulasi,0,1,0,1
sudah bagus,0,1,0,1
"ya bagus, tapi minta tolong masalah jaringan internet/tune itu di perbagus lagi karna sering susah connect ke internet yang ada di kampus",0,1,1,0
diperbanyak kapasitas server igracias maupun server yang lain,1,0,0,1
cukup,0,1,0,1
tidak ada,0,1,0,1
sudah cukup bagus,0,1,0,1
pelayanan sudah cukup baii,0,1,0,1
layanan sisfo harus lebih responsif lagi,1,0,0,1
tolong dibuatkan aplikasi i gracias agar mahasiswa  bisa mengakses informasi dengan mudah,1,0,0,1
bagus,0,1,0,1
saya harap internet lebih di percepat,0,1,1,0
sangat baik,0,1,0,1
tingkatkan lagi,0,0,0,0
dunno,0,1,0,1
untuk bisa lebih dipublikasikan ke semua mahasiswa,1,0,0,1
Perbaiki maintain nya,1,0,0,1
baik,0,1,0,1
sudah baik dan semoga lebih baik lagi,0,1,0,1
pertahankan dan dimaksimalkan lagi,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
tingkatkan,0,0,0,0
Baik,0,1,0,1
.,0,0,0,0
Tidak ada,0,1,0,1
ditambah lagi fasilitas untuk mahasiswa,0,0,0,0
diberikan contact person atau halaman yang memberikan informasi tentang SMB ekstensi (D3-S1). Contact person yang sudah ada terkadang tidak memberikan jawaban apapun ketika diemail. Persyaratan ekstensi pun belum terlalu jelas apakah ada persyaratan jurusan atau tidak,1,0,0,1
diperbaiki lagi,0,0,0,0
"sebaiknya perbanyak mading di gedung FIT, karena masih sangat minim sekali",1,0,0,1
-,0,0,0,0
Ditingkatkan agar lebih user friendly,1,0,0,1
tingkatkan,0,0,0,0
:),0,1,0,1
kembangkan,0,1,0,1
10,0,1,0,1
Sudah Baik..,0,1,0,1
Sistem informasi harus diperjelas lagi seperti pengumuman agar mengerti sesuatu yang penting di seluruh bagian kampus,1,0,0,1
sudah bagus.. pertahankan,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
tidak ada saran,0,1,0,1
"sejauh ini layanan sistem informasi sudah cukup baik, tapi lebih baik informasi disampaikan melalui sms juga",1,1,0,1
sudah baik,0,1,0,1
Perbaiki lagi,0,0,0,0
BAGUS,0,1,0,1
tidak ada saran atau masukan lain.,0,1,0,1
informasi harus pasti dan lebih mudah didapatkan oleh mahasiswa,1,0,0,1
bagus,0,1,0,1
"layanan informasi sangat kurang, karena penjaga di bawah jarang ada",1,0,0,1
lebih di perbaiki lagi igracias nya,1,0,0,1
sudah cukup bagus,0,1,0,1
sudah sangat membantu dan baik sekali,0,1,0,1
Harus lebih baik lagi,0,0,0,0
sudah bagus karena mahasiswa dengan mudah memperoleh informasi melalui i-Gracias,1,1,0,1
semoga lebih mudah mengakses dan memahami layanan sistem informasi,1,0,0,1
sudah bak,0,1,0,1
So far so good,0,1,0,1
Kami butuh internet cepat dan stabil,0,1,1,0
baus,0,1,0,1
supaya jadi lebih baik,0,0,0,0
informasi sudah baik,0,1,0,1
diperketat agar tidak adanya hacker/cracker yang masuk,1,0,0,1
sudah baik,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
sudah sangat baik dalam layanan sistem informasi,1,1,0,1
Sudah baik tingkatkan...,0,1,0,1
Di perbaiki aja agar bisa lebih bagus,0,0,0,0
good,0,1,0,1
-,0,0,0,0
menurut saya sistem informasinya masih lumayan baik,1,1,0,1
hmmm gak ada,0,1,0,1
sudah baik,0,1,0,1
-,0,0,0,0
Baik,0,1,0,1
semakin giat lagi,0,1,0,1
Informasi melalui offline diperluas,1,0,0,1
lebih baik lagi,0,0,0,0
Tidak ada,0,1,0,1
puas,0,1,0,1
Cukup baik,0,1,0,1
server down,1,0,0,1
blank,0,1,0,1
tingkatkan lagi,0,0,0,0
-,0,0,0,0
sudah cukup baik,0,1,0,1
Sudah ok,0,1,0,1
tingkatkan lagi pelayanannya,0,0,0,0
bagus no komen,0,1,0,1
udah bagus lanjutkan!!,0,1,0,1
ditingkatkan kembali,0,0,0,0
Iya udah gitu aja,0,1,0,1
Sudah Baik,0,1,0,1
sudah bagus,0,1,0,1
di perbaik lagi,0,0,0,0
:),0,1,0,1
cukup baik,0,1,0,1
"Sudah baik, smg lbh baik",0,1,0,1
be a good servicess,1,0,0,1
-,0,0,0,0
Layanan informanisnya juga sudah bagus,1,1,0,1
baik,0,1,0,1
gak ada,0,1,0,1
semoga lebih baik,0,1,0,1
lebih cepat tanggap,0,1,0,1
verygood,0,1,0,1
lebih baik lagi,0,0,0,0
Hehe,0,0,0,0
Saya harap implementasi layanan Telkom dapat lebih baik.,0,0,0,0
mudah-mudahan lebih baik lagi,0,0,0,0
sosialisasi baiknya di berikan dimana saja. tidak hanya d medsos. baiknya masuk hingga k mading asrama.,1,0,0,1
ditingkatkan kinerja server igracias agar igracias ga sering down apalagi saat daftar gladi/kp/registrasi.,1,0,0,1
sudah sangat bagus,0,1,0,1
ok,0,1,0,1
Koneksi internet yang masih belum baik,0,1,1,1
memberikan informasi yang lebih baik lagi,1,0,0,1
lebih ditingkatkan lagi layanan nya,0,0,0,0
tolong berikas info secara cepat dan akurat dan tidak simpang siur seperti sekarang,1,0,0,1
memberikan pelayanan yang baik,0,1,0,1
Layanan Sistem Informasi sudah sangat mudah dan baik sehingga dapat dengan mudah untuk dilihat dan diinformasikan.,1,1,0,1
bagus,0,0,0,1
"Saya masih merasa tertipu dengan registrasi awal yg diharuskan membeli kartu perdana, pada kenyataannya kartu tersebut menjadi sampah, padahal dari dulu saya sudah memakai kartu telkomsel",0,1,0,1
lumayan baik,0,1,0,1
"keseluruhan sudah cukup baik, akan tetapi untuk tune tolong di improve lagi agar metode pembelajaran lebih mudah. kadang ketika saya akan melakukan lab di kls bersama dosen yang butuh dengan internet, kadang kami terganggu ketika tune nya lemot.",1,0,1,0
Lebih ditingkatkan lagi,0,0,0,0
lumayang puas,0,1,0,1
informasi untuk ECCT seharusnya disebar di i-gracias agar lebih mudah mendapatkan info.,1,0,1,0
menjadi lebih baik lagi,0,0,0,0
informasi perlu sedikit terbuka,1,0,0,0
Untuk layanan sistem informasi segera dikoordinasikan jika ada isu-isu yang tidak enak tentang telkom university agar orangtua mahasiswa merasa tenang anaknya di kuliahkan di telkom universty,1,0,0,0
layanan sistem informasi sudah sangat baik karena mudah digunakan.,1,1,0,0
kurang diperhatikan untuk sinyal di dalam gedung kuliah umum,0,0,1,0
-,0,0,0,0
Lebih baik lagi ke depannya,0,0,0,0
Sudah baik dan terus tingkatkan..,0,1,0,1
informasi harus lebih di sebar dengan baik,0,0,0,0
bagus,0,1,0,1
cukup baik,0,0,0,0
tidak ada,0,0,0,0
mungkin kecepatan harus ditambah,0,0,0,0
ya,0,1,0,1
-,0,0,0,0
"mungkin layanan tune yang perlu diperluas jangkauannya, karena kantin teknik tidak terjangkau",1,0,0,0
Baik Sekali,0,1,0,1
lebih ditingkatkan,0,0,0,0
,0,0,0,0
cukup baik,0,1,0,1
,0,0,0,0
Sangat kreatif,0,1,0,1
sudah bagus,0,1,0,1
Lebih banyak informasi atau pengumuman agar mahasiswa tidak mendapat kesulitan dalam mengurus berbagai hal,1,0,0,1
Semoga pelayanannya makin cepat,0,0,0,0
.,0,0,0,0
Lebih ditingkatkan,0,0,0,0
"Sudah bagus,tinggal ditingkatkan lagi",0,1,0,1
Tingkatkan,0,0,0,0
lebih di tingkatkan lagi,0,0,0,0
asdsad,0,0,0,0
menurut saya sudah sangat baik hanya tolong di pertahankan`,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
di perbaiki lagi,0,0,0,0
Cukup memuaskan,0,1,0,1
ok,0,1,0,1
tingkatkan,0,0,0,0
lebih ramah dan cepat,0,1,0,1
Ditingkatkan lagi kualitasnya,0,0,0,0
SUDAH BAIK,0,1,0,1
lebih diperbaiki lagi,0,0,0,0
-,0,0,0,0
"sudah lumayan bagus, mohon ditingkatkan lagi",0,1,0,1
"For Information System Services, I think there's no suggestion. ICAO usually send email if they're have some important information.",1,1,0,1
ya bagus,0,1,0,1
-,0,0,0,0
Sudah cukup.,0,1,0,1
sudah bai namun masih ada sedikit kekurangan di bidang internet kampus sebaiknya di tingkatkan lagi,0,0,1,0
cukup baik dan responsif,0,1,0,1
-,0,0,0,0
-,0,0,0,0
Lebih cepat lagi dalam penyampaian informasi,1,0,0,0
Jaringan. Sulit.di akses,0,1,1,0
semoga lebih baik,0,0,0,0
Semoga menjadi lebih baik,0,0,0,0
Mantap,0,1,0,1
-,0,0,0,0
dipercepat tune nya,1,0,0,1
tidak ada saran,0,1,0,1
"aplikasi theta, khususnya thesis belum berjalan dengan baik, kami diminta untuk upload via igracias, tapi setelah dibuka tidak bis berfungsi dengan baik, mau nanya ke siapa, bingung",1,0,0,1
sudah cukup memuaskan,0,1,0,1
Baik,0,1,0,1
tingkatkan!,0,0,0,0
Tingkatkan lagi,0,0,0,0
cukup informatif,1,1,0,1
sangat baik dan tingkatkan,0,1,0,1
Tdk ads,0,1,0,1
ditingkatkan lagi,0,0,0,0
tolong diperbaiki session login tune,1,0,0,1
sudah cukup baik hanya perlu ditingkatkan kembali,0,1,0,1
cukup,0,1,0,1
Lebih di tingkatkan lagi,0,0,0,0
Masih kurang semoga lebih baik,0,0,0,0
lebih ditingkatkan,0,0,0,0
-,0,0,0,0
pertahankan  dan terus tingkatkan,0,1,0,1
bagus,0,1,0,1
-,0,0,0,0
tingkatkan,0,0,0,0
tingkatkan lagi,0,0,0,0
lebih baik lagi,0,0,0,0
Menurut saya sudah cukup baik,0,1,0,1
ok,0,1,0,1
"jauh dari nama lembaga pendidikan ini sebagai perusahaan telekomunikasi di Indonesia yang paling besar seharusnya bisa mneyediakan layanan intenet (contoh yang paling mendasar ) , presensi dan sebagainya , yang harus nya jauh lebih unggul dibandingkan lembaga pendidikan manapun yang ada di Indonesia",0,1,1,0
meningkatkan dan maintenance sister informasi yang dimilki,1,0,0,1
-,0,0,0,0
sudah sangat baik,0,1,0,1
agar dipermudah lagi,0,0,0,0
Sangat baik,0,1,0,1
lebih baik lagi,0,0,0,0
"sejauh ini sudah bagus, terus tingkatkan lagi",0,1,0,1
wifi range koneksi di kantin gku perkuat lagi pa,0,0,1,0
Cukup baik dalam layanan sistem informasj,1,1,0,1
internet jangan lemot,0,1,1,0
Semoga layanan di bidang akademik di TelU bisa lebih dikembangkan lagi.,0,1,0,1
fasilitas parkiran yg kurang memadai harap ditingkatkan,0,1,0,1
tingkatan semua layanan sistem ini,1,0,0,1
Agar lebih baik lagi,0,0,0,0
Tetap semangat,0,1,0,1
lebih berkembang lagi,0,0,0,0
Sudah baik,0,1,0,1
temat terlalu jauh dari feb,0,1,0,1
-,0,0,0,0
no comment,0,1,0,1
gaada,0,1,0,1
-,0,0,0,0
mahasiswa butuh ada panduan dari layanan sistem informasi yang masih belum jelas dengan cara penggunaanya,1,0,0,1
,0,0,0,0
pertahankan,0,1,0,1
lebih baik ditingkatkan lagi supaya bagus,0,0,0,0
"Kurang baik, karena informasi hanya tersrdia online saja, seharusnya ada bentuk fisiknya, baik di mading asrama atau lainnya...",1,0,0,1
benahi yang perlu dibenahi,0,0,0,0
Sebaiknya setiap orang yang menjadi pemberi informasi bisa memberikan pelayanan yang ramah dan tidak mempersulit mahasiswa,1,0,0,1
lebih ditingkatkan lagi terutama TUNE nya sering loading lama,1,0,0,1
lebih di tingkatkan lagi,0,0,0,0
no comment,0,1,0,1
mantap,0,1,0,1
perbaiki lagi,0,0,0,0
Inforrmasi masih terbatas,1,0,0,1
sudah sangat membantu dan baik sekali,0,1,0,1
tidak ada,0,1,0,1
sangat memenuhi dan di perbaiki lagi,0,1,0,1
baik,0,1,0,1
sudah dapat diakses dengan mudah,0,1,0,1
sudah bagus,0,1,0,1
layanan sistem sudah memadai hanya saja perlu dioptimalkan dan distabilkan lagi,1,0,0,1
"sistem layanan sudah di permudah dengan igracias, namun hasil respon masih lama seperti pengajuan TAK",1,0,0,1
"kalo perlu pelayanannya di perbaiki , harus bisa melayani",0,0,0,0
Masih perlu perbaikan supaya layanan cepat,0,0,0,0
bagus,0,1,0,1
Baik,0,1,0,1
baik,0,1,0,1
tingkatkan lagi,0,0,0,0
untuk sisfo sudah cukup baik tapi mungkin ada layanan informasi yang diluar gedung sehingga dapat menjangkau langsung kepada mahasiswa,1,0,0,1
tingkatkan lagi,0,0,0,0
-,0,0,0,0
Lebih ditingkatkan lagi kestabilan jaringan internet agar mahasiswa dapat dengan mudah mengakses informasi,0,1,1,0
baik,0,1,0,1
tidak ada,0,1,0,1
sudah baik,0,1,0,1
bagus sekali,0,1,0,1
perbaiki,0,0,0,0
sudah baik layanan sistem informasinya,1,1,0,1
Baik,0,1,0,1
Internetnya dipercepat,0,1,1,0
-,0,0,0,0
Good,0,1,0,1
lebih jelas lagi untuk informasinya,1,0,0,1
bagus,0,1,0,1
Cukup baik,0,1,0,1
"luar biasa, tingkatkan",0,1,0,1
sudah baik,0,1,0,1
"Kadang sulit mentag kelas, alangkah lebih baik jika bersistem online",1,0,0,1
baik,0,1,0,1
bagus,0,1,0,1
ok,0,1,0,1
ok,0,1,0,1
maintenance igraciasnya ditingkatkan lagi ya,1,0,0,1
terus ditingkatkan kualitasnya dalam segi apapun,0,0,0,0
sudah bagus,0,1,0,1
"secara keseluruhan sudah baik, semoga kedepannya dapat menjadi lebih baik lagi dan menjadi yang terbaik. semangat!",0,1,0,1
-,0,0,0,0
-,0,0,0,0
Tidak ada,0,1,0,1
"Sudah Baik,Semoga bisa lebih baik lagi",0,1,0,1
perbaiin sering down,1,0,0,1
cukup,0,1,0,1
...,0,0,0,0
perluas jaringan informasi,1,0,0,1
Bagus,0,1,0,1
"sangat jelas, tetapi saya suka tidak tau informasi tolong lebih dirangkul lg",1,0,0,1
semoga lebih baik lagi,0,0,0,0
bagus,0,1,0,1
On time,0,1,0,1
diperbaiki lagi,0,0,0,0
"Untuk menyebarluaskan info harus lebih merata terutama informasi tentang beasiswa, tak, dan pusat bahasa",1,0,0,1
.,0,0,0,0
sudah bagus,0,1,0,1
tolong tune dan wifi id lebih di percepat sinyal nya karena wifi id dan tune sering suka disconnect,1,0,1,0
-,0,0,0,0
sudah cukup baik,0,1,0,1
tingkatkan,0,0,0,0
Upgrade kapasitas server sehingga response time lebih cepat,0,1,1,0
sudah cukup baik,0,1,0,1
sistem informasi masih harus dikembangkan,1,0,0,1
Lebih jelas tidak cuek,1,0,0,1
U,0,0,0,0
perbaikin sistemnya,1,0,0,1
"layanan sistem informasinya sudah bagus sudah tertata rapi, hanya saja agak sulit membukanya dari handphone",1,1,0,1
Selalu tingkat lagi menjadi lebih baik,0,0,0,0
menurut saya layanan di bidang layanan sistem inormasi sudah cukup,1,1,0,1
layanan informasi di telkom kadang sudah bisa di terima dan mudah di dapat tapi terkadang susah terdapat,1,1,0,1
lebih diperbaik lagi,0,0,0,0
informasinya di update,1,0,0,1
Cukup,0,1,0,1
sudah baik tetapi lebih baik di tingkatkan lagi kuliatasnya,0,1,0,1
good,0,1,0,1
layanan informasi lebih diarahkan secara mendetail dan layanan internetnya di perluas agar lebih mudah mengakses,1,0,1,0
Tingkatan lagi,0,0,0,0
Front Office seharusnya membudayakan senyum,1,0,0,1
bagus,0,1,0,1
-,0,0,0,0
Impelementasi layanan di Universitas Telkom dalam bidang sistem informasi sudah cukup baik. sarannya lebih memberikan informasi yang lebih penting lagi dan lebih menarik perhatian mahasiswa. Good job,1,1,0,1
sistem informasi sudah tinggal lebih di tingkatkan lagi,1,0,0,1
sudah baik,0,1,0,1
Kedepannya lebih baik,0,1,0,1
"untuk layanan sistem informasi mohon lebih diperbaiki dan diperhatikan, karena internet terkadang susah untuk di buka",1,0,1,0
diharapkan untuk lebih cepat menyampaikan informasi,1,0,0,1
layanan sistem informasi di telkom university mudah untuk diakses bagi semua mahasiswa,1,1,0,1
"informasi lebih cepat untuk update, tidak terlalu sering mendadak,",1,0,0,1
baik,0,1,0,1
speed internet harus di tingkatkan agar mahasiswa/i dapat mencari informasi yang berhubungan dengan kampus dengan cepat.,1,0,1,0
tingkatkan,0,0,0,0
-,0,0,0,0
begitulah,0,0,0,0
Publikasi informasi harap semakin diperluas.,1,0,0,1
-,0,0,0,0
harus lebih user friendly,1,0,0,1
Agar layanan sistem dapat ditingkatkan lebih baik lagi. Terutama dalam sistem igracias ( bagian e-learning).,1,0,0,1
sudah baik. namun jam buka dan jam istirahat belum on time,1,0,0,1
sisfo dimohon cepat tanggap dalam menyikapi permasalahan sistem,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
Tidak ada,0,1,0,1
good,0,1,0,1
alhamdulillah,0,1,0,1
sudah cukup puas karena sudah hampir seluruh inforamasi dapat diakses online,1,0,0,1
Tingkatkan jaringan wifi kampusnya,0,1,1,0
Sudah bagus,0,1,0,1
Layanan sistem informasi sudah bagus,1,1,0,1
tingkatkan,0,0,0,0
.,0,0,0,0
sudah baik. namun lebih aktif lg dan berikan info lbh rinci lg biar g ada miskom,1,0,0,1
Tidak ada,0,1,0,1
"Sudah cukup bagus, tingkatkan layanan sistem informasi lebih baik lagi.",1,1,0,1
Baik,0,1,0,1
Semoga semakin baik,0,0,0,0
perbanyak dan permuda akses internet,0,1,1,0
"Server sering down ketika masa regist, input magang",1,0,0,1
,0,0,0,0
-,0,0,0,0
ditingkatkan menjadi lebih baik lagi,0,0,0,0
Asdf,0,0,0,0
Lebih baik dan lebih jelas lagi untuk penyampaian info ke mahasiswanya,1,0,0,1
Lebih baik lagi dalam pengembangan informasinya,1,0,0,1
Website lebih optimalkan lg untuk handphone,1,0,0,1
lebih cepat lagi dalam melayani keluhan para mahasiswa,1,0,0,1
tidak ada,0,1,0,1
tidak ada,0,1,0,1
Masih kurang bagus tampilannya,1,0,0,1
untuk informasi lebih di koordinir saja,1,0,0,1
Dipebaiki dan ditingkatkan lagi,0,0,0,0
meningkatkan informasi untuk mahasiswa/i,1,0,0,1
tidak ada saran,0,1,0,1
sarannya supaya dalam pelayanan sisfo lebih ditingkatkan kembali agar dalam penyusunan proposal input ke theta nya tidak tertinggal..,1,0,0,1
tingkatkan,0,0,0,0
tingkatkan,0,0,0,0
harus lebih jelas & cepat,0,0,0,0
sudah bagus,0,1,0,1
ta,0,0,0,0
lebih kondusif menjaga dan melayani sistem informasi kepada mahasiswa dan dosen,1,0,0,1
sudah cukup bagus,0,1,0,1
Tidak Ada,0,1,0,1
Sudah bagus dalam hal informasi,1,1,0,1
"Sudah bagus, lanjutkan",0,1,0,1
Lebih di tingkatkan,0,0,0,0
lebih ditingkatkan,0,0,0,0
belum,0,1,0,1
sudah baik,0,1,0,1
Sudah baik,0,1,0,1
sudah sangat baik memberi pelayanan sisten informasi,1,1,0,1
sangat baik,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
oke,0,1,0,1
tingkatkan lagi,0,0,0,0
cukup puas! tapi harus ditingkatkan lagi,0,1,0,1
"Sudah bagus,lebih ditingkatkan lagi",0,1,0,1
Sedikit lebih detil lagi dalam layanannya,0,0,0,0
terus perbaiki kualitas,0,0,0,0
ya bagi saya udah cukup,0,1,0,1
dari layanan sistem informasi sudah cukup baik,1,1,0,1
Sudah bagus dalam layanan informasi,1,1,0,1
tidak ada,0,1,0,1
terkadang tidak bisa di akses,1,0,1,0
sarannya lebih dimajukan lagi,0,0,0,0
bagus,0,1,0,1
Buat Parkiran khusus mahasiswa FEB,0,1,0,1
cukup baik,0,1,0,1
Baik sekali,0,1,0,1
memperbaiki server igracias teruatama saat input matakuliah dan pendaftaran geladi,1,0,0,1
baik,0,1,0,1
.,0,0,0,0
Tapping absen perbaiki,1,0,0,1
"Saran saya, karena gangguan internet (tune) sering terjadi jadi perlu diperhatikan lagi dalam kecepatan menangani masalah-masalah seperti ini. Satu hal lagi, (pengalaman pribadi) Saya baru saja mengajukan Pembuatan SK TA melalui Igracias, namun ada beberapa hal yang masih kurang. Seperti pada saat saya telah submit berkas dan input data TA, ada keterangan ""data saya berhasil tersimpan"", namun ketika saya mengklik ""print"" untuk mengetes apakah data saya benar-benar sudah tersimpan atau belum, namun yang keluar blank. Hal lainnya, saat saya mau mengajukan nama dosen pembimbing di Igracias, tidak ada pilihan Pembimbing I yang keluar.",1,0,1,0
lebih baik lagi lah,0,0,0,0
-,0,0,0,0
Harus di tingkatkan lagi agar lebih baik,0,0,0,0
sudah sangat baik,0,1,0,1
tidak ada,0,1,0,1
diperbaiki lagi kekurangannya,0,0,0,0
Pertahankan,0,1,0,1
Kurang dalam bentuk sosial media yang sering digunakan oleh mahasiswa/i,1,0,0,1
baik,0,1,0,1
,0,0,0,0
Sudah baik,0,1,0,1
"layanannya sudah cukup bagus,tetapi untuk informasi tertentu terkadang respon lambat,di tingkatkan lagi",1,0,0,1
lanjutkan!,0,1,0,1
tingkatkan,0,0,0,0
Pertahankan yg baik nya.,1,0,0,1
Layanan tune di gedung GKU sangat lambat mohon dijadikan pertimbangan,1,0,1,0
-,0,0,0,0
koneksi TUNE kian memburuk dan melambat,1,0,1,0
telat sampai berita kadang,1,0,0,1
semoga layanan semakin bagus,0,0,0,0
informasi terkadang memusingkan seperti saya tidak tahu tab mana untuk mencetak kartu uts,1,0,0,1
semoga layanan sistem informasi di universitas telkom bisa tetap menjadi yang terbaik,1,0,0,1
Sudah berjalan dengan baik.,0,1,0,1
no suggestion,0,1,0,1
Lumayan,0,1,0,1
Berikan saran/masukan Saudara/i terkait dengan implementasi layanan di Universitas Telkom dalam bidang Layanan Sistem Informasi,0,1,0,1
"Everything is fine, maybe they're some lecturer that can't teach efficiently, in which that they're making said subject harder than it seems or using a hard to understand language and example..",1,0,0,1
tingkatkan layanan,0,0,0,0
"harap perbaiki sistem absensi dikelas,masih ada rfid yang rusak",1,0,0,1
perbaiki sinyal wifi,0,1,1,0
Baik,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
layanan sistem informasi sudah sangat baik dan mudah. lebih baik lagi dibuat aplikasi igraciasnya.,1,1,0,1
"pemahaman mengenai igracias yang menurut saya sulit karna banyak prosedur  informasi yang susah dipahami, dan mengenai akes ke igracias yang terkadang sulit untuk diakses. kesulitan dalam pencarian e-jurnal atau tesis, buku. hal tersebut perlu dipermudah . karna terkadang apa yang ada di open library tidak sesuai dengan ketersediaan.",1,0,0,1
to be best,0,1,0,1
Cukup,0,1,0,1
koneksi internet nya di percepat,0,1,1,0
kurang informasi nya,1,0,0,1
respon nya tolong lebih cepat,1,0,0,1
lebih cepat tanggap,0,0,0,0
tingkatkan,0,0,0,0
diperbaiki biar ga error sm limit trs,1,0,0,1
baik juga,0,1,0,1
tidak ada udah bagus kok,0,1,0,1
Sudah lumayan,0,1,0,1
tingkatkan lagi,0,0,0,0
jangan suka mendadak kalau kasih info,1,0,0,1
di gedung a lantai 3 masih susah dapet sinyal wifi,0,1,1,0
Ditingkatkan lagi untuk kedepannya,0,0,0,0
Ktm sering tidak terbaca ketika di tab,1,0,0,1
masalah hukuman berupa denda tolong diberitakan diawal dong. apa apaan tiba tiba denda 50ribu perhari.,1,0,0,1
ok,0,1,0,1
"sudah cukup baik, dan ditingkatkan.",0,1,0,1
untuk layanan sistem informasi sangat puas terhadap kinerjanya,1,1,0,1
jika ada informasi terkait dengn kegiatan perkuliahan atau info beasiswa sebaiknya diberitahukan dari jauh2 hari,1,0,0,1
"bagus, namun diputer puter",1,0,0,1
semoga menjadi informan yang lebih baik lagi untuk mahasiswa,1,0,0,1
very good,0,1,0,1
fuuuhh,0,0,0,0
-,0,0,0,0
Pengumuman selalu mendadak dan memperlama,1,0,0,1
igracias tidak error terus menerus setiap mau ujian,1,0,0,1
sudah bagus,0,1,0,1
Dipermudah lagi akses Internet disekitar kampus,0,1,1,0
ok,0,1,0,1
to be better more,0,1,0,1
memberikan informasi sedetail mungkin agar dapat memudahkan mahasiswa,1,0,0,1
.,0,0,0,0
"saya belum pernah menggunakan layanan ini saat perkuliahan, tetapi saat pendaftaran layanan ini sangat bagus dan responsif",1,1,0,1
